lon,lat,elev_m,vdatum,Description,HWM_ID,date,elev_msl_m
-75.6637,37.92637,1.58496,NAVD88,Poor wash line on roadside embankment (north side).,HWM-VA-ACC-053,10/29/2012,1.4988900361
-75.7058,37.79126,1.88976,NAVD88,Excellent seed line inside garage door.,HWM-VA-ACC-054,10/29/2012,1.7983209764
-75.7858,37.72195,1.55448,NAVD88,Good seed line on inside door of storage shed.,HWM-VA-ACC-055,10/29/2012,1.4614563944
-75.7858,37.72195,1.55448,NAVD88,Fair wash line on berm next to creek on eastern edge of property.,HWM-VA-ACC-056,10/29/2012,1.4614563944
-75.8312,37.66615,1.524,NAVD88,Good seed line on outside of fenced-in enclosure near public boat ramp.,HWM-VA-ACC-057,10/29/2012,1.4303939676
-75.8312,37.66615,1.46304,NAVD88,Fair wash line on north side of parking lot.,HWM-VA-ACC-058,10/29/2012,1.3694339676
-76.3951,37.28022,1.3716,NAVD88,Excellent seed line on trailer.,HWM-VA-GLO-001,10/29/2012,1.2856373394
-76.3951,37.28022,1.40208,NAVD88,Excellent seed line on inside of grill.,HWM-VA-GLO-002,10/29/2012,1.3161173394
-76.2813,37.44928,1.0668,NAVD88,Excellent seed line on chimney.,HWM-VA-MAT-001,10/29/2012,0.9849053191
-76.2813,37.44928,1.0668,NAVD88,Excellent seed line on outside of garage.,HWM-VA-MAT-002,10/29/2012,0.9849053191
-76.2741,37.31894,1.40208,NAVD88,Excellent seed line on inside of cinderblock shed.,HWM-VA-MAT-003,10/29/2012,1.3161608359
-76.2741,37.31894,1.43256,NAVD88,Excellent seed line on outside of cinderblock building.,HWM-VA-MAT-004,10/29/2012,1.3466408359
-76.259,36.95925,2.31648,NAVD88,Good debris line on beach behind dunes at Sarah Constant park.,HWM-VA-NFK-004,10/29/2012,2.2293611136
-76.2986,36.85881,1.49352,NAVD88,Good wash line in yards and driveways at Fairfax Ave. and Mowbray Arch.,HWM-VA-NFK-005,10/29/2012,1.4134123707
-75.9554,37.28775,1.76784,NAVD88,Poor high-water mark provided by landowner from observation during storm.,HWM-VA-NOR-001,10/29/2012,1.6628092175
-75.9347,37.47625,1.31064,NAVD88,Fair wash line and mark provided by landowner.,HWM-VA-NOR-002,10/29/2012,1.2143395769
