HWM_ID,lat,lon,quality,elev_m,"land, m MSL",Description,vdatum,elev_msl_m
1103,25.1825136612,-80.3901639344,G,0.94488,0.85344,G,MSL,0.94488
1401,25.1549180328,-81.1259562842,G,2.8956,2.8956,G,MSL,2.8956
1501,25.1338797814,-81.100273224,F,2.4384,2.4384,F,MSL,2.4384
1701,25.8390710383,-81.3819672131,G,1.34112,1.34112,G,MSL,1.34112
1703,25.8387978142,-81.3816939891,G,1.34112,1.34112,G,MSL,1.34112
1801,25.8101092896,-81.362568306,F,1.3716,1.3716,F,MSL,1.3716
1805,25.8092896175,-81.3592896175,G,1.46304,1.2192,G,MSL,1.46304
1901,25.9322404372,-81.65,E,1.70688,1.70688,E,MSL,1.70688
1904,25.9319672131,-81.6554644809,E,1.58496,1.28016,E,MSL,1.58496
1905,25.925136612,-81.6480874317,E,1.64592,1.18872,E,MSL,1.64592
1906,25.925136612,-81.6478142077,E,1.76784,1.31064,E,MSL,1.76784
1907,25.9240437158,-81.650273224,E,2.16408,1.88976,E,MSL,2.16408
1908,25.9234972678,-81.649726776,E,2.07264,1.8288,E,MSL,2.07264
1909,25.9232240437,-81.6494535519,E,2.10312,1.88976,E,MSL,2.10312
1910,25.9218579235,-81.6480874317,E,1.85928,1.49352,E,MSL,1.85928
1911,25.9218579235,-81.6475409836,E,1.88976,1.3716,E,MSL,1.88976
1912,25.9229508197,-81.6453551913,E,1.79832,1.55448,E,MSL,1.79832
1913,25.9232240437,-81.6445355191,F,1.73736,1.73736,F,MSL,1.73736
1914,25.9226775956,-81.643715847,E,1.70688,1.49352,E,MSL,1.70688
1915,25.9229508197,-81.643442623,F,1.88976,1.49352,F,MSL,1.88976
1916,25.9229508197,-81.6431693989,E,1.76784,1.49352,E,MSL,1.76784
1917,25.9237704918,-81.6428961749,E,1.70688,1.46304,E,MSL,1.70688
1918,25.9240437158,-81.6428961749,E,1.6764,1.40208,E,MSL,1.6764
1919,25.9243169399,-81.6428961749,E,1.61544,1.40208,E,MSL,1.61544
1920,25.9245901639,-81.643715847,G,1.61544,1.61544,G,MSL,1.61544
1921,25.9243169399,-81.6442622951,G,1.64592,1.64592,G,MSL,1.64592
1922,25.9243169399,-81.6448087432,G,1.58496,1.58496,G,MSL,1.58496
