Station ID,Station Name,Owner,Latitude,Longitude,Sensor
46013,"BODEGA BAY - 48NM NW of San Francisco, CA",NDBC,38.238,-123.307,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46014,"PT ARENA - 19NM North of Point Arena, CA",NDBC,39.235,-123.974,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46015,"PORT ORFORD - 15 NM West of Port Orford, OR",NDBC,42.779,-124.874,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46022,"EEL RIVER - 17NM WSW of Eureka, CA",NDBC,40.72,-124.531,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46023,"PT ARGUELLO - 17NM WNW of Point Arguello, CA",NDBC,34.714,-120.967,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46025,"Santa Monica Basin - 33NM WSW of Santa Monica, CA",NDBC,33.749,-119.053,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46026,"SAN FRANCISCO - 18NM West of San Francisco, CA",NDBC,37.755,-122.839,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46027,"ST GEORGES - 8NM NW of Crescent City, CA",NDBC,41.852,-124.382,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46028,"CAPE SAN MARTIN - 55NM West NW of Morro Bay, CA",NDBC,35.712,-121.858,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46029,COLUMBIA RIVER BAR - 20NM West of Columbia River Mouth,NDBC,46.143,-124.485,AirtemperatureBarometricpressureCurrentsSalinityWatertemperatureWavesWinds
46035,"CENTRAL BERING SEA - 310 NM North of Adak, AK",NDBC,57.026,-177.738,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46041,"CAPE ELIZABETH- 45NM NW of Aberdeen, WA",NDBC,47.353,-124.742,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46042,"MONTEREY - 27NM WNW of Monterey, CA",NDBC,36.785,-122.398,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46047,"TANNER BANK - 121NM West of San Diego, CA",NDBC,32.398,-119.498,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46050,"STONEWALL BANK - 20NM West of Newport, OR",NDBC,44.677,-124.515,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46053,"EAST SANTA BARBARA  - 12NM Southwest of Santa Barbara, CA",NDBC,34.252,-119.853,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46054,"WEST SANTA BARBARA  38 NM West of Santa Barbara, CA",NDBC,34.265,-120.477,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46059,"WEST CALIFORNIA - 357NM West of San Francisco, CA",NDBC,38.072,-129.966,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46060,"WEST ORCA BAY - 8NM NW of Hinchinbrook Is., AK",NDBC,60.584,-146.805,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46061,"Seal Rocks - Between Montague and Hinchinbrook Islands, AK",NDBC,60.23,-146.843,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46066,"SOUTH KODIAK - 310NM SSW of Kodiak, AK",NDBC,52.785,-155.047,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46069,SOUTH SANTA ROSA IS. CA,NDBC,33.674,-120.212,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46070,"SOUTHWEST BERING SEA - 142NM NNE OF ATTU IS, AK",NDBC,55.082,175.153,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46071,"WESTERN ALEUTIANS - 14NM SOUTH OF AMCHITKA IS, AK",NDBC,51.125,179.012,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46072,CENTRAL ALEUTIANS 230NM SW Dutch Harbor,NDBC,51.656,-172.058,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46073,"SOUTHEAST BERING SEA -205NM WNW of Dutch Harbor, AK",NDBC,55.031,-172.001,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46075,"SHUMAGIN ISLANDS - 85NM South of Sand Point, AK",NDBC,53.983,-160.817,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46076,"CAPE CLEARE - 17 NM South of Montague Is,  AK",NDBC,59.502,-147.99,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46077,"SHELIKOF STRAIT, AK",NDBC,57.91,-154.175,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46078,"ALBATROSS BANK - 104NM South of Kodiak Is., AK",NDBC,55.556,-152.582,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46080,"PORTLOCK BANK- 76NM ENE of Kodiak, AK",NDBC,57.947,-150.042,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46081,Western Prince William Sound,NDBC,60.799,-148.263,AirtemperatureBarometricpressureConductivityCurrentsSalinityWatertemperatureWavesWinds
46082,"Cape Suckling - 35 NM SE of Kayak Is, AK",NDBC,59.681,-143.372,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46083,"Fairweather Ground 105NM West  of Juneau, AK",NDBC,58.3,-137.997,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46084,"Cape Edgecumbe - 25NM SSW of Cape Edgecumbe, AK",NDBC,56.6,-136.101,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46085,"CENTRAL GULF OF ALASKA -  265NM West of Cape Ommaney, AK",NDBC,55.868,-142.492,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46086,"SAN CLEMENTE BASIN - 27NM SE Of San Clemente Is, CA",NDBC,32.491,-118.035,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46087,"Neah Bay - 6NM North of Cape Flattery, WA     (Traffic Separation Lighted Buoy)",NDBC,48.493,-124.726,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46088,"NEW DUNGENESS - 17 NM NE of Port Angeles, WA",NDBC,48.334,-123.165,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46089,"TILLAMOOK, OR - 85 NM WNW of Tillamook, OR",NDBC,45.925,-125.771,AirtemperatureBarometricpressureCurrentsWatertemperatureWavesWinds
46091,MBM0,MBARI,36.835,-121.899,AirtemperatureBarometricpressureWatertemperatureWinds
46092,MBM1,MBARI,36.75,-122.03,AirtemperatureBarometricpressureWatertemperatureWinds
46093,MBM2,MBARI,36.69,-122.41,AirtemperatureBarometricpressureWatertemperatureWinds
46094,"Buoy NH-10 - West of Newport, OR",NANOOS,44.642,-124.3,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
46096,Columbia River Entrance - SATURN Station #02 Offshore,CMOP,46.173,-124.127,AirtemperatureBarometricpressureWatertemperatureWinds
46097,OOI Newport Shelf,OOI,44.639,-124.304,AirtemperatureBarometricpressureSalinityWatertemperatureWavesWinds
46098,OOI Waldport Offshore,OOI,44.381,-124.956,AirtemperatureBarometricpressureSalinityWatertemperatureWavesWinds
46099,OOI Westport Shelf,OOI,46.986,-124.566,AirtemperatureBarometricpressureSalinityWatertemperatureWavesWinds
46100,OOI Westport Offshore,OOI,46.851,-124.972,AirtemperatureBarometricpressureSalinityWatertemperatureWavesWinds
46106,Central Cook Inlet AK,NDBC,59.76,-152.09,AirtemperatureBarometricpressureWavesWinds
46109,Port Angeles Buoy,Intellicheck Mobilisa,48.123,-123.395,AirtemperatureBarometricpressureWatertemperatureWinds
46110,Sequim Buoy,Intellicheck Mobilisa,48.115,-123.032,AirtemperatureBarometricpressureWinds
46111,Fort Worden Buoy,Intellicheck Mobilisa,48.131,-122.748,AirtemperatureBarometricpressureWatertemperatureWinds
46112,Marrowstone Buoy,Intellicheck Mobilisa,48.1,-122.73,AirtemperatureBarometricpressureWinds
46113,Poulsbo Buoy,Intellicheck Mobilisa,47.73,-122.646,AirtemperatureBarometricpressureWatertemperatureWinds
46118,Se'lhaem Bellingham Bay,NANOOS,48.724,-122.576,AirtemperatureBarometricpressureWatertemperatureWinds
46119,Cha'Ba La Push,NANOOS,47.967,-124.95,AirtemperatureWatertemperatureWinds
46120,"Pt Wells, WA (U of Wash)",Univ Wash,47.761,-122.397,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
46121,"Carr Inlet, WA (U of Wash)",Univ Wash,47.28,-122.728,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
46125,"Hansville - Hood Canal, WA",Univ Wash,47.907,-122.627,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
46126,Wide Bay (Shell),Shell Oil,53.951,-166.602,AirtemperatureBarometricpressureWatertemperatureWavesWinds
46127,"SATURN Offshore Station #10, Columbia River, South Jetty, OR",CMOP,46.215,-124.063,AirtemperatureBarometricpressureWatertemperatureWinds
46128,"Buoy CB-06 - West of Coos Bay, OR",NANOOS,43.295,-124.537,BarometricpressureSalinityWatertemperatureWinds
46410,"SOUTH CORDOVA 188NM SSE of Cordova, AK",NDBC,57.65,-143.798,AirtemperatureBarometricpressureWaterlevelWinds
48012,Point Lay (UAF),UAF,70.025,-166.071,AirtemperatureBarometricpressureWatertemperatureWinds
48211,Camden Bay (Shell Arctic),Shell Arctic,70.37,-146.04,AirtemperatureBarometricpressureWatertemperatureWavesWinds
