lon,lat,elev_m,vdatum,elev_msl_m
-81.765095,26.337807,3.179064,NAVD88,3.0319806579
-81.877758,30.079589,6.001512,NAVD88,5.999580704
-81.820223,27.347097,11.381232,NAVD88,11.4812320015
-81.594083,30.125805,1.69164,NAVD88,1.6736863751
-81.6036663,30.1276029,1.740408,NAVD88,1.7253401032
-81.7207,26.66104,3.544824,NAVD88,3.3981894213
-81.6142433,30.1295626,1.709928,NAVD88,1.698346594
-81.55383,30.14531,2.426208,NAVD88,2.3942432323
-81.72555,26.67112,3.236976,NAVD88,3.0913490825
-81.72559,26.66831,3.3528,NAVD88,3.2071730825
-81.5425,29.79972,1.216152,NAVD88,1.1987579937
-81.55996,30.16168,2.667,NAVD88,2.6346525593
-81.73084,26.6711,3.191256,NAVD88,3.0463715329
-80.4953,25.0236,1.9519392,NAVD88,1.6864971565
-81.880078,30.085534,6.068568,NAVD88,6.0663352268
-81.880246,30.085463,6.068568,NAVD88,6.0663352268
-81.799166,27.542792,17.227296,NAVD88,17.3272960015
-81.794869,27.551411,17.38884,NAVD88,17.4888400015
-81.885425,30.083089,6.26364,NAVD88,6.2611762746
-81.8022,27.57694,18.236184,NAVD88,18.3361840015
-81.70157,30.24869,1.868424,NAVD88,1.856923349
-81.69732,30.25104,1.810512,NAVD88,1.7977939306
-81.69067,30.25255,1.804416,NAVD88,1.7901703893
-81.73588,26.67306,2.795016,NAVD88,2.6514446232
-81.71138,30.28632,1.932432,NAVD88,1.9140735515
-81.822744,27.620826,20.8919064,NAVD88,20.9919064015
-81.69049,30.30603,2.182368,NAVD88,2.1576748946
-81.759967,26.337042,3.502152,NAVD88,3.3540071439
-81.587467,30.125588,0.704088,NAVD88,0.6839878013
-81.587467,30.125588,0.771144,NAVD88,0.7510438013
-81.67725,30.31154,2.008632,NAVD88,1.9801875161
-82.19373,28.47679,19.943064,NAVD88,19.9238941311
-81.871897,30.029853,8.022336,NAVD88,8.0216447573
-81.66309,30.31205,1.743456,NAVD88,1.7109612837
-82.18219,28.4809,19.921728,NAVD88,19.9025581311
-81.64139,30.11722,1.05156,NAVD88,1.0481627779
-82.15658,28.47525,20.415504,NAVD88,20.3998409313
-81.68504,26.64433,5.28828,NAVD88,5.1361057507
-82.1368,28.4747,20.900136,NAVD88,20.8844729313
-81.771773,26.340501,2.313432,NAVD88,2.1684711942
-82.13616,28.4637,21.012912,NAVD88,20.9972489313
-82.28563,27.87055,4.239768,NAVD88,4.2098101486
-81.873575,30.028115,8.47344,NAVD88,8.4725929383
-81.85131,29.97991,8.948928,NAVD88,8.9489934723
-81.778927,26.34286,1.905,NAVD88,1.7621821898
-81.72559,26.72192,1.292352,NAVD88,1.1459524275
-82.201147,28.496197,19.437096,NAVD88,19.4179261311
-81.72541,26.71856,1.2954,NAVD88,1.1490004275
-81.858914,30.066404,5.477256,NAVD88,5.4768187277
-82.21268,28.51927,18.086832,NAVD88,18.0676621311
-81.71397,26.72388,1.292352,NAVD88,1.1438699753
-81.31833,29.88861,1.420368,NAVD88,1.2772174767
-81.858086,30.076418,5.428488,NAVD88,5.4279092725
-81.546335,30.120412,2.005584,NAVD88,1.9744126353
-81.66635,26.71763,1.603248,NAVD88,1.4481816737
-81.3025,29.89361,1.450848,NAVD88,1.2967535871
